age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,"1,399",641,"4,715","2,166","8,921","1,769","2,940","2,507","7,216","4,669","6,213","10,882","2,564","5,338","7,307","5,152","1,328","21,689","4,233","4,009","4,695","7,212","20,149","63,857"
18-20,Sub-total,"2,950","1,366","9,916","4,456","18,688","3,744","6,093","5,405","15,242","9,661","12,911","22,572","5,385","l 1,562","15,562","10,669","2,797","45,975","8,888","8,467","9,808","15,084","42,247","144,724"
21-25,F,"2,416","1,149","8,064","3,680","15,309","2,659","4,568","3,984","11,211","6,707","9,149","15,856","3,547","8,746","10,210","8,109","1,764","32,376","6,486","6,446","6,942","10,508","30,382","105,134"
21-25,Sub-total,"4,951","2,247","15,986","7,312","30,496","5,376","9,095","7,895","22,366","13,788","18,603","32,391","7,263","18,068","21,011","16,327","3,615","66,234","13,266","12,986","14,119","21,335","61,706","213,243"
26-30,F,"3,172","1,494","9,765","4,751","19,182","3,295","5,302",4.669,"13,266","7,278","10,161","17,439","4,232","10,077","9,932","9,359","1,955","35,555","6,565","7,146","7,230","13,075","34,016","119,458"
26-30,Sub-total,"6,259","2,910","19,294","9,519","37,982","6,791","10,624","9,341","26,756","14,659","21,032","35,691","8,328","20,443","20,429","18,565","3,802","71,567","13,230","14,307","14,315","26,057","67,909","239,905"
31-35,F,"3,932","2,007","11,344","4,833","22,116","4,665","5,466","5,828","15,959","7,595","11,105","18,700","5,590","11,137","10,065","9,986","2,137","38,915","5,103","5,687","8,091","13,997","32,878","123,568"
31-35,Sub-total,"7,622","3,917","22,627","9,784","43,950","9,585","11,243","11,581","32,409","15,429","22,795","38,224","11,272","23,291","20,769","20,634","4,317","80,283","10,809","11,743","15,942","28,813","67,307","262,173"
36-40,F,"4,922","2,574","13,443","5,720","26,659","5,655","6,472","7,440","19,567","8,939","12,685","21,624","7,070","9,240","11,836","11,875","3,069","43,090","5,472","5,280","11,234","13,617","35,603","146,543"
36-40,Sub-total,"9,302","4,962","26,207","11,323","51,794","11,674","12,798","14,865","39,337","17,855","25,714","43,569","14,025","18,850","23,633","24,780","5,697","86,985","10,683","10,360","21,487","27,207","69,737","291,422"
41-45,F,"5,213","2,857","14,565","6,684","29,319","5,466","6,873","7,739","20,078","10,415","14,183","24,598","7,266","10,774","13,820","11,605","3,537","47,002","7,582","6,451","11,741","14,604","40,378","161,375"
41-45,Sub-total,"9,789","5,388","27,574","12,816","55,567","11,060","13,483","15,044","39,587","20,261","27,890","48,151","13,884","20,053","26,143","23,527","6,575","90,182","13,887","11,837","22,502","26,828","75,054","308,541"
46-50,F,"6,524","3,425","19,559","8,984","38,492","6,004","8,762","9,375","24,141","14,864","17,634","32,493","8,943","16,665","18,078","14,593","4,134","62,413","11,044","11,250","14,403","21,056","57,753","215,297"
46-50,Sub-total,"12,434","6,512","37,063","17,185","73,194","11,954","17,078","18,079","47,111","29,108","34,798","63,906","17,558","31,071","35,632","28,247","8,219","120,727","20,854","20,150","27,954","39,270","108,228","413,166"
51-55,F,"6,570","3,686","19,824","8,964","39,044","5,960","9,794","9,200","24,954","14,403","17,927","32,330","8,018","18,375","16,242","15,346","3,791","61,772","11,228","12,576","13,339","23,153","60,296","218,396"
51-55,Sub-total,"13,168","7,152","38,838","17,678","76,836","11,967","19,556","18,193","49,716","29,409","35,787","65,196","16,335","35,658","35,438","30,456","8,034","125,921","22,789","24,444","27,456","44,715","119,404","437,073"
56-60,F,"5,719","3,422","16,915","7,344","33,400","5,343","8,027","8,248","21,618","10,781","15,325","26,106","6,490","15,321","11,422","12,936","2,850","49,019","7,415","8,789","9,217","19,154","44,575","174,718"
56-60,Sub-total,"11,441","6,735","33,225","14,684","66,085","10,795","16,490","15,835","43,120","21,622","29,952","51,574","12,842","30,388","25,100","25,434","6,286","100,052","16,234","18,212","19,233","37,442","91,121","351,952"
